Tweet ID,Text,Created at,Like count,Retweet count,Reply count,User,User Location,User Followers Count
1668904376910454784,"Present were Deputy President @rigathi, Prime Cabinet Secretary @MusaliaMudavadi, Cabinet Secretaries @KindikiKithure, @HonAdenDuale, AG @HonJBMuturi, Chief of Defence Forces Francis Ogolla, Inspector General of Police Japhet Koome and former NIS DG Philip Kameru among others. https://t.co/3WRwTSK55O",2023-06-14 08:53:04+00:00,266,45,0,WilliamsRuto,Kenya,5982029
1668904373974360065,"During the swearing-in of Noordin Haji as Director General National Intelligence Service, State House, Nairobi. https://t.co/ddu0LSkCec",2023-06-14 08:53:04+00:00,340,53,0,WilliamsRuto,Kenya,5982029
1668904371260735488,"Our policies, legislations and other interventions will be based on veritable analysis and knowledge that is data-driven to effectively manage fragile and complex security, economic and climate change issues among other challenges affecting Kenyans. https://t.co/C6JSke83aA",2023-06-14 08:53:03+00:00,1630,237,0,WilliamsRuto,Kenya,5982029
1668856221359816705,"Swearing-in of Noordin Haji, Director General, NIS, State House, Nairobi. https://t.co/mPUnpSiiI6",2023-06-14 05:41:43+00:00,1170,214,1,WilliamsRuto,Kenya,5982029
1668651286961569795,"Hosted youtubers at @StateHouseKenya, Nairobi. https://t.co/NdL8cyT1i8",2023-06-13 16:07:23+00:00,373,51,0,WilliamsRuto,Kenya,5982029
1668651284256239618,Their footprint in Kenya also includes capacity building programmes for small and micro enterprises. https://t.co/dNYeVCjAS8,2023-06-13 16:07:22+00:00,300,41,0,WilliamsRuto,Kenya,5982029
1668651281450237953,"Beyond this, @Google is a valued partner in our quest for a digital economy, providing Internet access to over 90 government institutions and supporting our plan for free public wifi. https://t.co/aaibckxPjW",2023-06-13 16:07:22+00:00,240,29,0,WilliamsRuto,Kenya,5982029
1668651277666877442,"The number of Kenyan YouTube with more than a million views has grown by 110% in the last one year. I applaud YouTube for setting aside 100 million dollars to grow and develop Black content creators across the world, including Kenyans through #YoutubeBlackVoices https://t.co/tjmuWFCWUr",2023-06-13 16:07:21+00:00,357,56,0,WilliamsRuto,Kenya,5982029
1668651274940579843,"Creativity and entrepreneurship have existed as long as humans have lived. YouTube embodies these two aspects in one platform while empowering content creators to earn a livelihood while entertaining, informing and educating people. https://t.co/BGqy0vDbqd",2023-06-13 16:07:20+00:00,3523,398,0,WilliamsRuto,Kenya,5982029
1668612802897133569,"YouTube Black Voices Closing Ceremony, State House, Nairobi. https://t.co/ti2IdXeqeQ",2023-06-13 13:34:28+00:00,578,108,0,WilliamsRuto,Kenya,5982029
1668605770634608643,".@SakajaJohnson  (Nairobi) and Muthomi Njuki (Tharaka Nithi), among other leaders. https://t.co/8ZBGHDcpe3",2023-06-13 13:06:31+00:00,199,37,0,WilliamsRuto,Kenya,5982029
1668605767073558529,"We were accompanied by Deputy President @rigathi, Cabinet Secretary @Nakhumicha_S, Governors @AnneWaiguru (Kirinyaga),... https://t.co/IdlinV1Fpe",2023-06-13 13:06:30+00:00,233,40,0,WilliamsRuto,Kenya,5982029
1668605763969773569,During the opening of the Kerugoya Level 5 County Referral Hospital Medical Complex in Kirinyaga County. https://t.co/aeFPu9SR8P,2023-06-13 13:06:29+00:00,124,24,0,WilliamsRuto,Kenya,5982029
1668605760320798720,Our commitment to revamping hospital infrastructure and upgrading medical equipment is guided by our desire to offer citizens quality and affordable healthcare services to ensure we have a healthy working Nation. https://t.co/uavTCm4rcH,2023-06-13 13:06:29+00:00,1134,180,0,WilliamsRuto,Kenya,5982029
1668591955230556161,"Deputy President @rigathi, Sports Cabinet Secretary @AbabuNamwamba, Nairobi Governor @SakajaJohnson, National Assembly chairman of Sports Committee Dan Wanyama, Athletics Kenya officials and Faith’s family among others were present. https://t.co/3e4uK38Dij",2023-06-13 12:11:37+00:00,165,17,0,WilliamsRuto,Kenya,5982032
1668555006725988353,"Opening of Kerugoya Referral Hospital, Kirinyaga County. https://t.co/3UHhd6cyOk",2023-06-13 09:44:48+00:00,558,87,0,WilliamsRuto,Kenya,5982032
1668539043859283968,"Opening of Kerugoya Referral Hospital, Kirinyaga County. https://t.co/cr4c6Pu9DO",2023-06-13 08:41:22+00:00,868,140,0,WilliamsRuto,Kenya,5982032
1668537948348854272,"During the State Reception for Faith Kipyegon and @Ferdiomanyala at @StateHouseKenya, Nairobi; also congratulated fast-rising stars Emmanuel Wanyonyi, Mary Moraa and the rest of our World Beating Champions. https://t.co/Taww1BtbAx",2023-06-13 08:37:01+00:00,517,69,0,WilliamsRuto,Kenya,5982032
1668537945085603843,"In our new plan to appreciate our gifted achievers in sports and the creatives, a world record breaker will be rewarded Sh5 Million and be considered for diplomatic passport and other national honours. https://t.co/3D4xIYcOiq",2023-06-13 08:37:00+00:00,365,45,0,WilliamsRuto,Kenya,5982032
1668537942166339584,Our sportsmen and women brand Kenya globally. We will honour and reward them accordingly. https://t.co/wrRGeSSmQV,2023-06-13 08:37:00+00:00,2263,292,0,WilliamsRuto,Kenya,5982032
1668509005927559168,"Receiving world record breaker Faith Kipyegon and Ferdinand Omanyala, State House, Nairobi. https://t.co/qtz8DE1SBz",2023-06-13 06:42:01+00:00,2168,342,0,WilliamsRuto,Kenya,5982032
1668349759940091922,"We welcome the expansion of the IGAD Troika on Sudan, which will now include Ethiopia. As the chair of the IGAD quartet on resolving the instability in Sudan, Kenya commits to meet the two parties face to face to find a lasting solution to the crisis. Djibouti and South Sudan are… https://t.co/MdATHcPZBW https://t.co/Sg2rJZueXq",2023-06-12 20:09:13+00:00,670,101,0,WilliamsRuto,Kenya,5982032
